name,spkid,albedo,diameter_km,e,i_deg,a_au,class
     1 Ceres (A801 AA),20000001,0.09,939.4,0.07940124623779937,10.58779899521626,2.766051155365554,C
     2 Pallas (A802 FA),20000002,0.155,513.0,0.230540390934673,34.92402104683643,2.770193724888286,M
     3 Juno (A804 RA),20000003,0.214,246.596,0.255947247804533,12.98651243369537,2.670669610524808,M
     4 Vesta (A807 FA),20000004,0.4228,522.77,0.09010712502848492,7.143943095399415,2.361397458473309,S
     5 Astraea (A845 XA),20000005,0.274,106.699,0.1874407619692401,5.358873879186222,2.576761789145174,M
     6 Hebe (A847 NA),20000006,0.2679,185.18,0.2023356466632655,14.73542060875203,2.425879205190072,M
     7 Iris (A847 PA),20000007,0.2766,199.83,0.2299780975339978,5.5195528527104,2.386321366597522,M
     8 Flora (A847 UA),20000008,0.226,147.491,0.1564762591241133,5.890292825439237,2.201041283769486,M
     9 Metis (A848 HA),20000009,0.118,190.0,0.1226465963772406,5.578030074771525,2.386377079522108,C
    10 Hygiea (A849 GA),20000010,0.0717,407.12,0.109626631962854,3.832432290463585,3.143633349787946,C
    11 Parthenope (A850 JA),20000011,0.191,142.887,0.09979893626584337,4.633418863308689,2.454317688400214,M
    12 Victoria (A850 RA),20000012,0.163,115.087,0.2200209864879293,8.374048109126806,2.333929570777747,M
    13 Egeria (A850 VA),20000013,0.049,202.636,0.08498768730630597,16.52551032741327,2.577100923168633,C
    14 Irene (A851 KA),20000014,0.159,152.0,0.1627055531489713,9.129599577810072,2.588049438405081,M
    15 Eunomia (A851 OA),20000015,0.248,231.689,0.1877168034505561,11.7605108752516,2.64324789308708,M
    16 Psyche (A852 FA),20000016,0.1203,222.0,0.1340602466664047,3.09735344094621,2.92212275411611,C
    17 Thetis (A852 HA),20000017,0.193,84.899,0.1319543978562939,5.592420276541049,2.471198184252616,M
    18 Melpomene (A852 MA),20000018,0.181,139.594,0.2181122710613837,10.13132998187295,2.295263683459345,M
    19 Fortuna (A852 QA),20000019,0.037,200.0,0.157869787517438,1.573343269217742,2.442943227264783,C
    20 Massalia (A852 SA),20000020,0.241,135.68,0.1438882275731435,0.7093090726661438,2.408752480111193,M
    21 Lutetia (A852 VA),20000021,0.19,98.0,0.164799426543564,3.064571423545109,2.433845943570712,M
    22 Kalliope (A852 WA),20000022,0.166,167.536,0.0989147419731515,13.70151963742415,2.910053672342015,M
    23 Thalia (A852 XA),20000023,0.2536,107.53,0.2311484873671491,10.1088668583705,2.628975760904523,M
    24 Themis (A853 GA),20000024,0.067,198.0,0.1152742735284791,0.7367666201102834,3.142739569933653,C
    25 Phocaea (A853 GB),20000025,0.35,61.054,0.2541175666230742,21.60849021729832,2.400040252028399,S
    26 Proserpina (A853 JA),20000026,0.1966,94.8,0.08851654792093207,3.554581085326787,2.656402902623489,M
    27 Euterpe (A853 VA),20000027,0.215,96.0,0.1715064042776271,1.583332180066094,2.347533777939334,M
    28 Bellona (A854 EA),20000028,0.1763,120.9,0.1490093397396874,9.423413451406432,2.777103583368453,M
    29 Amphitrite (A854 EB),20000029,0.216,189.559,0.07346383149899373,6.07774990974286,2.553919004277654,M
    30 Urania (A854 OA),20000030,0.192,92.787,0.126805954389375,2.093591273394843,2.365989473471773,M
    31 Euphrosyne (A854 RA),20000031,0.053,267.08,0.215982864867672,26.31586773869279,3.161074445528014,C
    32 Pomona (A854 UA),20000032,0.2564,80.76,0.0816192931047225,5.522291671666406,2.586789639143297,M
    33 Polyhymnia (A854 UB),20000033,0.24,52.929,0.3322897592020949,1.851035221532662,2.875286805542369,M
    34 Circe (A855 GA),20000034,0.023,132.992,0.1068260282661615,5.497262578757079,2.686343083103146,C
    35 Leukothea (A855 HA),20000035,0.066,103.055,0.217767762813204,7.860542988266733,3.008678118884699,C
    36 Atalante (A855 TA),20000036,0.029,132.842,0.3063778536822326,18.37276961559992,2.745172541725735,C
    37 Fides (A855 TB),20000037,0.1826,108.35,0.1748495452033681,3.068004667134736,2.642642531230821,M
    38 Leda (A856 AA),20000038,0.055,92.255,0.1509405608091225,6.951279098474481,2.742382283362714,C
    39 Laetitia (A856 CA),20000039,0.269,179.484,0.1124359205478286,10.36979395594687,2.769926389939219,M
    40 Harmonia (A856 FA),20000040,0.22,111.251,0.04603642521714865,4.255907801517456,2.266957720609837,M
    41 Daphne (A856 KA),20000041,0.059,205.495,0.2708132034211078,15.72196429352412,2.769885953210752,C
    42 Isis (A856 KB),20000042,0.139,110.997,0.2219134584003149,8.511297461180975,2.442442018095121,C
    43 Ariadne (A857 GA),20000043,0.234,71.34,0.1683731805126217,3.470739337173189,2.202866215338229,M
    44 Nysa (A857 KA),20000044,0.482,70.64,0.1496908565297628,3.71220736076733,2.422228600879377,S
    45 Eugenia (A857 MA),20000045,0.045,202.327,0.08279644765368871,6.605461053513909,2.720003464818397,C
    46 Hestia (A857 QA),20000046,0.046,131.471,0.1720221862947149,2.3513834989797,2.525782039576306,C
    47 Aglaja (A857 RA),20000047,0.082,168.174,0.1321169036596021,4.965975081030472,2.883939189715127,C
    48 Doris (A857 SA),20000048,0.065,216.473,0.06640385748686253,6.558455941645732,3.112253219507846,C
    49 Pales (A857 SB),20000049,0.048,166.252,0.2215719620224083,3.20160278355771,3.098676333631447,C
    50 Virginia (A857 TA),20000050,0.05,84.074,0.2846695735557379,2.838922065586131,2.651607557393675,C
    51 Nemausa (A858 BA),20000051,0.1,138.159,0.06591962573256872,9.972902725683008,2.365535672490263,C
    52 Europa (A858 CA),20000052,0.057,303.918,0.1118220513775756,7.480934845899279,3.091661553003407,C
    53 Kalypso (A858 GA),20000053,0.028,97.262,0.2029112906916681,5.181375423552082,2.619007725935716,C
