object,a,e,i,albedo,diameter,dv_kms,est_value_usd,profit_index,price_pt_usd,price_ni_usd,price_co_usd
0,,0.0794012462377993,,0.09,0.05,5.419101869356699,23143517.555910975,3605413.658629216,950.0,17000.0,32000.0
1,,0.230540390934673,,0.155,0.05,5.64581058640201,23143517.555910975,3482422.084563306,950.0,17000.0,32000.0
2,,0.255947247804533,,0.214,0.05,5.6839208717068,16531083.96850784,2473261.4711948973,950.0,17000.0,32000.0
3,,0.0901071250284849,,0.4228,0.05,5.435160687542727,16531083.96850784,2568868.8707508016,950.0,17000.0,32000.0
4,,0.1874407619692401,,0.274,0.05,5.58116114295386,16531083.96850784,2511879.531502871,950.0,17000.0,32000.0
5,,0.2023356466632655,,0.2679,0.05,5.603503469994898,16531083.96850784,2503380.825590845,950.0,17000.0,32000.0
6,,0.2299780975339978,,0.2766,0.05,5.6449671463009965,16531083.96850784,2487760.0753391343,950.0,17000.0,32000.0
7,,0.1564762591241133,,0.226,0.05,5.53471438868617,16531083.96850784,2529733.2041211794,950.0,17000.0,32000.0
8,,0.1226465963772406,,0.118,0.05,5.483969894565861,23143517.555910975,3569343.7712144973,950.0,17000.0,32000.0
9,,0.109626631962854,,0.0717,0.05,5.464439947944281,23143517.555910975,3580127.2410722463,950.0,17000.0,32000.0
10,,0.0997989362658433,,0.191,0.05,5.449698404398765,23143517.555910975,3588310.0425481666,950.0,17000.0,32000.0
11,,0.2200209864879293,,0.163,0.05,5.630031479731894,23143517.555910975,3490710.055700498,950.0,17000.0,32000.0
12,,0.0849876873063059,,0.049,0.05,5.427481530959459,23143517.555910975,3600713.194496918,950.0,17000.0,32000.0
13,,0.1627055531489713,,0.159,0.05,5.544058329723457,23143517.555910975,3536569.5704135,950.0,17000.0,32000.0
14,,0.1877168034505561,,0.248,0.05,5.581575205175834,16531083.96850784,2511721.5033123964,950.0,17000.0,32000.0
15,,0.1340602466664047,,0.1203,0.05,5.5010903699996065,23143517.555910975,3559943.9845830626,950.0,17000.0,32000.0
16,,0.1319543978562939,,0.193,0.05,5.497931596784441,23143517.555910975,3561674.543844652,950.0,17000.0,32000.0
17,,0.2181122710613837,,0.181,0.05,5.627168406592076,23143517.555910975,3492218.114283924,950.0,17000.0,32000.0
18,,0.157869787517438,,0.037,0.05,5.536804681276156,23143517.555910975,3540493.969814125,950.0,17000.0,32000.0
19,,0.1438882275731435,,0.241,0.05,5.515832341359715,16531083.96850784,2537064.046841045,950.0,17000.0,32000.0
20,,0.164799426543564,,0.19,0.05,5.547199139815346,23143517.555910975,3534873.013892121,950.0,17000.0,32000.0
21,,0.0989147419731515,,0.166,0.05,5.448372112959727,23143517.555910975,3589048.0807393068,950.0,17000.0,32000.0
22,,0.2311484873671491,,0.2536,0.05,5.6467227310507235,16531083.96850784,2487102.988557277,950.0,17000.0,32000.0
23,,0.1152742735284791,,0.067,0.05,5.472911410292719,23143517.555910975,3575441.7276760438,950.0,17000.0,32000.0
24,,0.2541175666230742,,0.35,0.05,5.681176349934611,16531083.96850784,2474277.4479631316,950.0,17000.0,32000.0
25,,0.088516547920932,,0.1966,0.05,5.432774821881398,23143517.555910975,3597750.3016563193,950.0,17000.0,32000.0
26,,0.1715064042776271,,0.215,0.05,5.557259606416441,16531083.96850784,2521035.4569966644,950.0,17000.0,32000.0
27,,0.1490093397396874,,0.1763,0.05,5.5235140096095305,23143517.555910975,3547707.189992874,950.0,17000.0,32000.0
28,,0.0734638314989937,,0.216,0.05,5.4101957472484905,16531083.96850784,2578873.504074136,950.0,17000.0,32000.0
29,,0.126805954389375,,0.192,0.05,5.490208931584062,23143517.555910975,3565912.5615024455,950.0,17000.0,32000.0
30,,0.215982864867672,,0.053,0.05,5.623974297301507,23143517.555910975,3493902.077086749,950.0,17000.0,32000.0
31,,0.0816192931047225,,0.2564,0.05,5.422428939657084,16531083.96850784,2573961.3663036483,950.0,17000.0,32000.0
32,,0.3322897592020949,,0.24,0.05,5.798434638803142,16531083.96850784,2431601.515171457,950.0,17000.0,32000.0
33,,0.1068260282661615,,0.023,0.05,5.460239042399242,23143517.555910975,3582455.2936845813,950.0,17000.0,32000.0
