alt_bin_km,inc_bin_deg,count
325.0,20.0,1
400.0,50.0,4
450.0,28.0,1
450.0,96.0,1
475.0,96.0,1
500.0,96.0,3
525.0,68.0,2
525.0,96.0,2
525.0,98.0,1
550.0,38.0,1
550.0,96.0,1
575.0,74.0,1
575.0,96.0,2
600.0,64.0,2
600.0,72.0,1
600.0,98.0,1
625.0,64.0,1
625.0,68.0,1
625.0,98.0,2
650.0,98.0,6
675.0,96.0,2
675.0,98.0,7
700.0,98.0,4
725.0,24.0,2
725.0,44.0,1
725.0,98.0,2
750.0,44.0,4
750.0,86.0,1
750.0,98.0,1
750.0,106.0,1
775.0,66.0,1
775.0,68.0,1
775.0,98.0,4
800.0,98.0,6
800.0,108.0,1
825.0,98.0,3
875.0,6.0,1
875.0,68.0,1
900.0,68.0,1
925.0,82.0,1
950.0,48.0,1
975.0,82.0,1
975.0,90.0,1
975.0,98.0,1
1050.0,90.0,1
1050.0,98.0,1
1075.0,62.0,1
1100.0,88.0,1
1125.0,90.0,1
1250.0,8.0,1
1400.0,8.0,1
1400.0,82.0,2
1425.0,82.0,1
1425.0,94.0,1
1425.0,100.0,1
1475.0,50.0,1
1475.0,82.0,6
1875.0,64.0,1
2000.0,0.0,17
2000.0,2.0,10
2000.0,4.0,8
2000.0,6.0,9
2000.0,8.0,8
2000.0,10.0,10
2000.0,12.0,8
2000.0,14.0,3
2000.0,24.0,1
2000.0,32.0,1
2000.0,44.0,1
2000.0,50.0,1
2000.0,52.0,1
2000.0,54.0,11
2000.0,56.0,2
2000.0,64.0,3
2000.0,78.0,1
2000.0,108.0,1
