time_tag,Kp,a_running,station_count
2025-09-01 00:00:00+00:00,2.0,7,8
2025-09-01 03:00:00+00:00,1.33,5,8
2025-09-01 06:00:00+00:00,1.33,5,8
2025-09-01 09:00:00+00:00,1.33,5,8
2025-09-01 12:00:00+00:00,1.33,5,8
2025-09-01 15:00:00+00:00,2.0,7,8
2025-09-01 18:00:00+00:00,2.67,12,8
2025-09-01 21:00:00+00:00,6.0,80,8
2025-09-02 00:00:00+00:00,5.33,56,8
2025-09-02 03:00:00+00:00,4.33,32,8
2025-09-02 06:00:00+00:00,4.33,32,8
2025-09-02 09:00:00+00:00,3.67,22,8
2025-09-02 12:00:00+00:00,3.0,15,8
2025-09-02 15:00:00+00:00,4.33,32,8
2025-09-02 18:00:00+00:00,5.0,48,8
2025-09-02 21:00:00+00:00,4.33,32,8
2025-09-03 00:00:00+00:00,4.67,39,8
2025-09-03 03:00:00+00:00,3.33,18,8
2025-09-03 06:00:00+00:00,2.33,9,8
2025-09-03 09:00:00+00:00,2.0,7,8
2025-09-03 12:00:00+00:00,1.67,6,8
2025-09-03 15:00:00+00:00,1.0,4,8
2025-09-03 18:00:00+00:00,2.33,9,8
2025-09-03 21:00:00+00:00,1.0,4,8
2025-09-04 00:00:00+00:00,2.0,7,8
2025-09-04 03:00:00+00:00,1.33,5,8
2025-09-04 06:00:00+00:00,2.33,9,8
2025-09-04 09:00:00+00:00,3.0,15,8
2025-09-04 12:00:00+00:00,2.0,7,8
2025-09-04 15:00:00+00:00,2.67,12,8
2025-09-04 18:00:00+00:00,2.33,9,8
2025-09-04 21:00:00+00:00,2.67,12,8
2025-09-05 00:00:00+00:00,1.67,6,8
2025-09-05 03:00:00+00:00,0.67,3,7
2025-09-05 06:00:00+00:00,1.33,5,7
2025-09-05 09:00:00+00:00,2.67,12,8
2025-09-05 12:00:00+00:00,1.33,5,8
2025-09-05 15:00:00+00:00,1.67,6,8
2025-09-05 18:00:00+00:00,2.67,12,8
2025-09-05 21:00:00+00:00,3.33,18,8
2025-09-06 00:00:00+00:00,4.0,27,8
2025-09-06 03:00:00+00:00,3.67,22,8
2025-09-06 06:00:00+00:00,4.0,27,8
2025-09-06 09:00:00+00:00,3.33,18,8
2025-09-06 12:00:00+00:00,4.0,27,8
2025-09-06 15:00:00+00:00,5.0,48,8
2025-09-06 18:00:00+00:00,4.33,32,8
2025-09-06 21:00:00+00:00,1.33,5,8
2025-09-07 00:00:00+00:00,1.0,4,8
2025-09-07 03:00:00+00:00,1.0,4,8
2025-09-07 06:00:00+00:00,0.67,3,8
2025-09-07 09:00:00+00:00,0.67,3,8
2025-09-07 12:00:00+00:00,1.0,4,8
2025-09-07 15:00:00+00:00,0.33,2,8
2025-09-07 18:00:00+00:00,1.33,5,8
2025-09-07 21:00:00+00:00,2.67,12,8
