provider,status,window_start,net,name,delay_hours
SpaceX,Launch Successful,2025-09-06 15:42:00+00:00,2025-09-06 18:06:39+00:00,Falcon 9 Block 5 | Starlink Group 17-9,2.410833333333333
China Aerospace Science and Technology Corporation,Launch Successful,2025-09-06 16:26:00+00:00,2025-09-06 16:34:00+00:00,Long March 6A | Yaogan 40 Group 03,0.13333333333333333
SpaceX,Launch Successful,2025-09-05 10:56:00+00:00,2025-09-05 12:32:30+00:00,Falcon 9 Block 5 | Starlink Group 10-57,1.6083333333333334
Galactic Energy,Launch Successful,2025-09-05 11:28:00+00:00,2025-09-05 11:39:00+00:00,Ceres-1 | 3 satellites,0.18333333333333332
China Aerospace Science and Technology Corporation,Launch Successful,2025-09-05 02:26:00+00:00,2025-09-05 02:34:00+00:00,Long March 3C/YZ-1 | Shiyan 29,0.13333333333333333
SpaceX,Launch Successful,2025-09-03 11:06:00+00:00,2025-09-03 11:56:10+00:00,Falcon 9 Block 5 | Starlink Group 10-22,0.8361111111111111
SpaceX,Launch Successful,2025-09-03 02:33:00+00:00,2025-09-03 03:51:26+00:00,Falcon 9 Block 5 | Starlink Group 17-8,1.3072222222222223
Israel Aerospace Industries,Launch Successful,2025-09-02 19:30:00+00:00,2025-09-02 19:30:00+00:00,Shavit-2 | Ofek-19,0.0
SpaceX,Launch Successful,2025-08-31 11:15:00+00:00,2025-08-31 11:49:00+00:00,Falcon 9 Block 5 | Starlink Group 10-14,0.5666666666666667
SpaceX,Launch Successful,2025-08-30 02:05:00+00:00,2025-08-30 04:59:14+00:00,Falcon 9 Block 5 | Starlink Group 17-7,2.903888888888889
SpaceX,Launch Successful,2025-08-28 05:27:00+00:00,2025-08-28 08:12:00+00:00,Falcon 9 Block 5 | Starlink Group 10-11,2.75
SpaceX,Launch Successful,2025-08-27 10:53:00+00:00,2025-08-27 11:10:40+00:00,Falcon 9 Block 5 | Starlink Group 10-56,0.29444444444444445
SpaceX,Launch Successful,2025-08-26 23:30:00+00:00,2025-08-26 23:30:00+00:00,Starship | Flight 10,0.0
SpaceX,Launch Successful,2025-08-26 18:53:00+00:00,2025-08-26 18:53:41+00:00,Falcon 9 Block 5 | NAOS,0.01138888888888889
China Aerospace Science and Technology Corporation,Launch Successful,2025-08-25 19:00:00+00:00,2025-08-25 19:08:00+00:00,Long March 8A | SatNet LEO Group 10,0.13333333333333333
SpaceX,Launch Successful,2025-08-24 06:45:36+00:00,2025-08-24 06:45:36+00:00,Falcon 9 Block 5 | Dragon CRS-2 SpX-33,0.0
Rocket Lab,Launch Successful,2025-08-23 22:42:00+00:00,2025-08-23 22:42:00+00:00,"Electron | Live, Laugh, Launch",0.0
SpaceX,Launch Successful,2025-08-22 15:44:00+00:00,2025-08-22 17:04:49+00:00,Falcon 9 Block 5 | Starlink Group 17-6,1.3469444444444445
