alt_km,inc_deg,satname,provider,constellation
461.804124782097,53.155,STARLINK-1008,SpaceX,Starlink
463.77505986098595,53.1591,STARLINK-1012,SpaceX,Starlink
483.4104402336461,53.0529,STARLINK-1017,SpaceX,Starlink
288.5837570190447,53.037,STARLINK-1019,SpaceX,Starlink
466.5053848337652,53.1595,STARLINK-1020,SpaceX,Starlink
377.0834053340018,53.0449,STARLINK-1036,SpaceX,Starlink
491.05503905413525,53.0648,STARLINK-1039,SpaceX,Starlink
411.4686701072137,53.0426,STARLINK-1042,SpaceX,Starlink
399.03956209303215,53.0526,STARLINK-1043,SpaceX,Starlink
421.8794108183142,53.0507,STARLINK-1046,SpaceX,Starlink
465.52842002284615,53.0712,STARLINK-1047,SpaceX,Starlink
387.76337521024107,53.0499,STARLINK-1048,SpaceX,Starlink
464.86448936566876,53.1587,STARLINK-1063,SpaceX,Starlink
373.99845428437857,53.0481,STARLINK-1067,SpaceX,Starlink
363.022348246182,53.0471,STARLINK-1068,SpaceX,Starlink
396.7611994768563,53.0458,STARLINK-1114,SpaceX,Starlink
471.3232440039701,53.148,STARLINK-1123,SpaceX,Starlink
466.50094115823504,53.1578,STARLINK-1094,SpaceX,Starlink
473.8279159952526,53.1579,STARLINK-1122,SpaceX,Starlink
406.48402652275445,53.0482,STARLINK-1080,SpaceX,Starlink
470.42489733829825,53.1529,STARLINK-1090,SpaceX,Starlink
421.908741414878,53.1548,STARLINK-1132,SpaceX,Starlink
469.9035467197955,53.1575,STARLINK-1131,SpaceX,Starlink
421.59356459873385,53.0297,STARLINK-1134,SpaceX,Starlink
474.0761799768793,53.1595,STARLINK-1156,SpaceX,Starlink
282.51741109654995,53.0381,STARLINK-1159,SpaceX,Starlink
413.24931267221245,53.0483,STARLINK-1166,SpaceX,Starlink
466.43423629424433,53.1576,STARLINK-1169,SpaceX,Starlink
365.17950979782836,53.0423,STARLINK-1171,SpaceX,Starlink
473.7687556898518,53.1569,STARLINK-1133,SpaceX,Starlink
468.3222200317864,53.1586,STARLINK-1167,SpaceX,Starlink
474.00692667034536,53.1582,STARLINK-1168,SpaceX,Starlink
465.06699292432313,53.1556,STARLINK-1172,SpaceX,Starlink
467.90995656933865,53.1587,STARLINK-1153,SpaceX,Starlink
358.39999348969513,53.0502,STARLINK-1151,SpaceX,Starlink
445.2206060655394,53.1622,STARLINK-1185,SpaceX,Starlink
473.87955696668,53.1607,STARLINK-1183,SpaceX,Starlink
437.94394985439794,53.0377,STARLINK-1152,SpaceX,Starlink
529.9326607146381,53.0516,STARLINK-1184,SpaceX,Starlink
383.9275563451879,53.0488,STARLINK-1193,SpaceX,Starlink
353.09284169493094,53.0464,STARLINK-1143,SpaceX,Starlink
474.43917364145955,53.1569,STARLINK-1202,SpaceX,Starlink
473.8344188125293,53.1587,STARLINK-1216,SpaceX,Starlink
473.91588290238496,53.1637,STARLINK-1225,SpaceX,Starlink
