satname,norad_id,inclination_deg,eccentricity,mean_motion_rev_per_day,perigee_km,apogee_km,l1,l2
STARLINK-1008,44714,53.1502,0.0003543,15.5294187,405.73758713970346,410.5463444148527,1 44714U 19074B   26189.89097947  .00048177  00000+0  76353-3 0  9993,2 44714  53.1502 324.5994 0003543 295.3766  64.6877 15.52941870367586
STARLINK-1012,44718,53.1548,0.0003958,15.53283648,404.46083122726304,409.83206160344525,1 44718U 19074F   26189.94677842  .00051144  00000+0  79984-3 0  9992,2 44718  53.1548 324.5573 0003958 297.2493  62.8114 15.53283648367588
STARLINK-1017,44723,53.0483,0.0001703,15.33902002,463.01854842252396,465.3490428855239,1 44723U 19074L   26189.65455405  .00042265  00000+0  12748-2 0  9993,2 44723  53.0483 329.0511 0001703 110.7214 249.3970 15.33902002367479
STARLINK-1020,44725,53.1557,0.0003326,15.59144582,387.8804110534511,392.38266328437476,1 44725U 19074N   26189.73097312  .00087151  00000+0  10882-2 0  9993,2 44725  53.1557 348.4248 0003326 250.5704 109.4950 15.59144582367211
STARLINK-1036,44741,53.043,0.0002339,15.76663939,338.32906542854926,341.4717633309965,1 44741U 19074AE  26189.60635258  .00064514  00000+0  39623-3 0  9997,2 44741  53.0430 314.0745 0002339 357.7739   2.3270 15.76663939367677
STARLINK-1039,44744,53.0587,0.0002515,15.30864115,471.50973910854555,474.9559781474354,1 44744U 19074AH  26189.80865000  .00039466  00000+0  13103-2 0  9994,2 44744  53.0587  14.4036 0002515 153.5252 206.5877 15.30864115366854
STARLINK-1042,44747,53.0405,8.55e-05,15.55641203,399.7098161758022,400.86892708535015,1 44747U 19074AL  26189.52722674  .00018377  00000+0  26929-3 0  9994,2 44747  53.0405 232.4141 0000855  61.9577 298.1520 15.55641203368843
STARLINK-1043,44748,53.0503,0.0001905,15.66750892,366.92273092986306,369.49308834043313,1 44748U 19074AM  26189.62516036  .00053911  00000+0  50422-3 0  9997,2 44748  53.0503 326.2814 0001905  14.0579 346.0489 15.66750892367517
STARLINK-1046,44751,53.0466,0.0003819,15.59424293,386.73767925621087,391.9066645717203,1 44751U 19074AQ  26189.73404617  .00091099  00000+0  11245-2 0  9992,2 44751  53.0466 348.9191 0003819 200.9909 159.0946 15.59424293367208
STARLINK-1047,44752,53.0677,0.0001248,15.35090976,459.7968036576458,461.5037649638107,1 44752U 19074AR  26189.62354087  .00014806  00000+0  43878-3 0  9995,2 44752  53.0677 299.9292 0001248 201.6993 158.3956 15.35090976367906
STARLINK-1048,44753,53.0428,0.0002323,15.70582872,355.66545600449354,358.79470755068724,1 44753U 19074AS  26188.34188489  .00046785  00000+0  37496-3 0  9995,2 44753  53.0428 303.2564 0002323 129.3226 230.7997 15.70582872367711
STARLINK-1063,44768,53.1545,0.000187,15.53039657,406.58811693510233,409.1260787276915,1 44768U 19074BH  26189.96823417  .00055886  00000+0  88069-3 0  9991,2 44768  53.1545   5.2655 0001870 251.6723 108.4085 15.53039657367038
STARLINK-1067,44771,53.0413,0.0005007,15.82998123,318.6127325646621,325.3222171858015,1 44771U 19074BL  26189.65172439  .00103679  00000+0  47302-3 0  9991,2 44771  53.0413 326.1441 0005007 316.7454  43.3174 15.82998123367516
STARLINK-1068,44772,53.0393,0.0004693,15.80715856,325.26769618098024,331.56246596427536,1 44772U 19074BM  26189.88533652  .00082654  00000+0  42104-3 0  9999,2 44772  53.0393 299.0747 0004693 328.8729  31.2014 15.80715856367900
STARLINK-1114,44927,53.0391,0.0001606,15.73022033,349.1850319008654,351.34619482027665,1 44927U 20001P   26189.94448606  .00051682  00000+0  37314-3 0  9998,2 44927  53.0391  97.7907 0001606 168.7737 191.3317 15.73022033359031
